Nombre de la API,Nombre de la IU,Descripción,Diccionario de Sinónimos
activeUsers,Usuarios activos,Indica la cantidad de usuarios distintos que visitaron su sitio o usaron su aplicación.,"Usuarios activos, Usuarios en línea, Usuarios conectados, Usuarios presentes, Usuarios vigentes, Usuarios actuales, Usuarios interactivos, Usuarios participativos, Usuarios que interactúan, Usuarios operativos, Usuarios activos"
addToCarts,Agregar a carrito,Indica la cantidad de veces que los usuarios agregaron elementos a sus carritos de compras.,"Agregar al carrito, Añadir a la cesta, Incluir en la compra, Añadir al carrito, Colocar en el carrito, Poner en la cesta, Añadir al carro, Incluir en el carro, Agregar al carro, Meter en el carrito, Agregar a carrito"
averagePurchaseRevenue,Promedio de ingresos por compras,Indica el promedio de ingresos por compras en el grupo de eventos de la transacción.,"Promedio de ingresos por compra, Ingresos medios por compra, ARPPU, Ingreso medio por transacción, Promedio de ventas, Ingresos promedio de compras, Ingreso medio por venta, Ingreso promedio por compra, Ganancia media por compra, Ganancia promedio por compra, Promedio de ingresos por compras"
averagePurchaseRevenuePerUser,Promedio de ingresos de compras por usuario,Los ingresos promedio por compras por usuario activo son los ingresos totales de compras por usuario activo que registró cualquier evento. La métrica de resumen corresponde al período seleccionado.,"Promedio de ingresos por usuario, ARPU, Ingresos medios por usuario, Ingresos promedio por cliente, Promedio de ventas por usuario, Ingreso medio por usuario, Ingreso promedio por cliente, Ingresos medios por cliente, Ganancia media por usuario, Ganancia promedio por usuario, Promedio de ingresos de compras por usuario"
averageSessionDuration,Duración promedio de la sesión,Es la duración promedio (en segundos) de las sesiones de los usuarios.,"Duración media de la sesión, Tiempo promedio de sesión, Duración habitual de sesión, Tiempo medio de sesión, Tiempo típico de sesión, Longitud promedio de sesión, Longitud media de sesión, Tiempo estándar de sesión, Tiempo regular de sesión, Duración típica de sesión, Duración promedio de la sesión"
bounceRate,Porcentaje de rebote,"Es el porcentaje de sesiones que no generaron participación (sesiones menos sesiones que generaron participación) dividido por sesiones. Esta métrica se muestra como una fracción. Por ejemplo, 0.2761 significa que el 27.61% de las sesiones fueron rebotes.","Tasa de rebote, Porcentaje de rebote, Índice de rebote, Ratio de rebote, Porcentaje de abandono, Tasa de abandono, Índice de abandono, Ratio de abandono, Tasa de salida, Índice de salida, Porcentaje de rebote"
checkouts,Confirmaciones de compra,Indica la cantidad de veces que los usuarios iniciaron el proceso de confirmación de la compra. Esta métrica cuenta la cantidad de casos del evento begin_checkout.,"Confirmaciones de compra, Finalización de compra, Check-outs, Confirmación de pedidos, Finalización de pedidos, Realización de compras, Realización de pedidos, Compras completadas, Pedidos completados, Confirmación de ventas, Confirmaciones de compra"
conversions,Conversiones,"Es el registro de eventos de conversión. Los eventos se marcan como conversiones en el momento de la recopilación. A partir de ese momento, se aplican los cambios que se realicen en la marca de conversiones de un evento. Puedes marcar cualquier evento como conversión en Google Analytics, y algunos eventos (es decir, first_open y purchase) se marcan como conversiones de forma predeterminada. Para obtener más información, consulta el artículo Acerca de las conversiones.","Conversiones, Transacciones completadas, Acciones realizadas, Resultados obtenidos, Ventas realizadas, Compras completadas, Eventos de conversión, Acciones de conversión, Transacciones exitosas, Resultados de conversión, Conversiones"
ecommercePurchases,Compras de comercio electrónico,"Indica la cantidad de veces que los usuarios completaron una compra. Esta métrica cuenta los eventos de purchase, mientras que no registra los eventos de in_app_purchase ni de suscripción.","Compras electrónicas, Transacciones de e-commerce, Ventas en línea, Compras en línea, Transacciones electrónicas, Compras digitales, Ventas electrónicas, Transacciones online, Compras web, Ventas digitales, Compras de comercio electrónico"
engagedSessions,Sesiones que generaron participación,"Indica la cantidad de sesiones que duraron más de 10 segundos, tuvieron un evento de conversión o tuvieron 2 o más vistas de pantalla.","Sesiones participativas, Sesiones con interacción, Sesiones activas, Sesiones involucradas, Sesiones comprometidas, Sesiones implicadas, Sesiones interactivas, Sesiones activas, Sesiones comprometidas, Sesiones involucradas, Sesiones que generaron participación"
engagementRate,Tasa de participación,"Es el porcentaje de sesiones que generaron participación (sesiones que generaron participación divididas por sesiones). Esta métrica se muestra como una fracción. Por ejemplo, 0.7239 significa que el 72.39% de las sesiones fueron sesiones que generaron participación.","Tasa de participación, Ratio de interacción, Índice de compromiso, Tasa de compromiso, Ratio de participación, Porcentaje de participación, Índice de interacción, Proporción de participación, Tasa de involucración, Proporción de interacción, Tasa de participación"
eventCount,Recuento de eventos,Es la cantidad de eventos.,"Recuento de eventos, Número de eventos, Conteo de eventos, Total de eventos, Cantidad de eventos, Número total de eventos, Conteo total de eventos, Total de acciones, Número de acciones, Conteo de acciones, Recuento de eventos"
eventCountPerUser,Recuento de eventos por usuario,Es la cantidad promedio de eventos por usuario (el recuento de eventos dividido por la cantidad de usuarios activos).,"Recuento de eventos por usuario, Número de eventos por usuario, Conteo de eventos por usuario, Total de eventos por usuario, Cantidad de eventos por usuario, Número total de eventos por usuario, Conteo total de eventos por usuario, Total de acciones por usuario, Número de acciones por usuario, Recuento de eventos por usuario"
eventsPerSession,Eventos por sesión,Es la cantidad promedio de eventos por sesión (el recuento de eventos dividido por la cantidad de sesiones).,"Eventos por sesión, Número de eventos por sesión, Cantidad de eventos por sesión, Frecuencia de eventos por sesión, Ratio de eventos por sesión, Promedio de eventos por sesión, Índice de eventos por sesión, Total de eventos por sesión, Conteo de eventos por sesión, Eventos medios por sesión, Eventos por sesión"
grossItemRevenue,Ingresos brutos por artículo,Indica los ingresos totales solo por artículos. Los ingresos brutos por artículo son el producto de su precio y cantidad. Los ingresos por artículos excluyen los impuestos y los valores de envío; los valores de impuestos y envío se especifican a nivel del evento y no a nivel del artículo. Los ingresos brutos por artículo no incluyen los reembolsos.,"Ingresos brutos por artículo, Ganancias brutas por artículo, Ventas brutas por artículo, Ingreso total por artículo, Ingresos globales por artículo, Ganancias totales por artículo, Ventas totales por artículo, Ingreso bruto por artículo, Ganancia bruta por artículo, Venta bruta por artículo, Ingresos brutos por artículo"
grossPurchaseRevenue,Ingresos brutos por compras,"Es la suma de los ingresos por compras realizadas en su sitio o aplicación. Los ingresos brutos por compras suman los ingresos de los siguientes eventos: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert y app_store_subscription_renew. Los ingresos por compras se especifican con el parámetro value en el etiquetado.","Ingresos brutos por compras, Ganancias brutas por compras, Ventas brutas por compras, Ingreso total por compras, Ingresos globales por compras, Ganancias totales por compras, Ventas totales por compras, Ingreso bruto por compras, Ganancia bruta por compras, Venta bruta por compras, Ingresos brutos por compras"
newUsers,Usuarios nuevos,Indica la cantidad de usuarios que interactuaron con tu sitio o iniciaron tu aplicación por primera vez (evento activado: first_open o first_visit).,"Usuarios nuevos, Nuevos registros, Nuevos usuarios, Nuevas cuentas, Nuevas altas, Nuevos perfiles, Nuevas inscripciones, Nuevas incorporaciones, Nuevas entradas, Nuevos miembros, Usuarios nuevos"
purchaseRevenue,Ingresos por compras,"Es la suma de los ingresos por compras menos los ingresos por transacciones reembolsadas que se realizaron en tu app o sitio. Los ingresos por compras suman los ingresos de los siguientes eventos: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert y app_store_subscription_renew. Los ingresos por compras se especifican con el parámetro value en el etiquetado.","Ingresos por compras, Ganancias por compras, Ventas por compras, Ingresos totales por compras, Ganancias totales por compras, Ventas totales por compras, Ingresos globales por compras, Ganancias globales por compras, Ingresos brutos por compras, Ganancias brutas por compras, Ingresos por compras"
purchaserConversionRate,Conversión de comprador,"Es el porcentaje de usuarios activos que realizaron 1 o más transacciones de compra. Esta métrica se muestra como una fracción. Por ejemplo, 0.412 significa que el 41.2% de los usuarios fueron compradores.","Tasa de conversión de comprador, Índice de conversión de comprador, Ratio de conversión de comprador, Porcentaje de conversión de comprador, Tasa de efectividad de comprador, Índice de efectividad de comprador, Proporción de conversión de comprador, Ratio de efectividad de comprador, Índice de efectividad de comprador, Tasa de éxito de comprador, Conversión de comprador"
screenPageViews,Vistas,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view).,"Vistas de pantalla, Visualizaciones de pantalla, Vistas de páginas, Visualizaciones de páginas, Vistas de pantalla por sesión, Visualizaciones de pantalla por sesión, Vistas de páginas por sesión, Visualizaciones de páginas por sesión, Vistas de página, Visualizaciones de página, Vistas"
screenPageViewsPerSession,Vistas por sesión,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios por sesión. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view)/sesiones.,"Vistas de pantalla por sesión, Visualizaciones de pantalla por sesión, Vistas de páginas por sesión, Visualizaciones de páginas por sesión, Vistas de pantalla promedio por sesión, Visualizaciones de pantalla promedio por sesión, Vistas de páginas promedio por sesión, Visualizaciones de páginas promedio por sesión, Vistas de página promedio por sesión, Visualizaciones de página promedio por sesión, Vistas por sesión"
screenPageViewsPerUser,Vistas por usuario,Es la cantidad de pantallas de una aplicación o de páginas web que vieron tus usuarios por usuario activo. Se registran las vistas repetidas de una página o pantalla individual. (eventos screen_view + page_view) / usuarios activos.,"Vistas de pantalla por usuario, Visualizaciones de pantalla por usuario, Vistas de páginas por usuario, Visualizaciones de páginas por usuario, Vistas de pantalla promedio por usuario, Visualizaciones de pantalla promedio por usuario, Vistas de páginas promedio por usuario, Visualizaciones de páginas promedio por usuario, Vistas de página promedio por usuario, Visualizaciones de página promedio por usuario, Vistas por usuario"
sessionConversionRate,Porcentaje de sesiones con conversiones,Indica el porcentaje de sesiones en las que se activó cualquier evento de conversión.,"Tasa de conversión de sesiones, Índice de conversión de sesiones, Ratio de conversión de sesiones, Porcentaje de conversión de sesiones, Tasa de efectividad de sesiones, Índice de efectividad de sesiones, Proporción de conversión de sesiones, Ratio de efectividad de sesiones, Índice de efectividad de sesiones, Tasa de éxito de sesiones, Porcentaje de sesiones con conversiones"
sessions,Sesiones,Es la cantidad de sesiones que se iniciaron en su sitio o aplicación (evento activado: session_start).,"Sesiones, Visitas, Inicios de sesión, Accesos, Entradas, Conexiones, Sesiones activas, Visitas activas, Sesiones iniciadas, Visitas iniciadas, Sesiones"
sessionsPerUser,Sesiones por usuario,Indica la cantidad promedio de sesiones por usuario (sesiones divididas por usuarios activos).,"Sesiones por usuario, Visitas por usuario, Inicios de sesión por usuario, Accesos por usuario, Entradas por usuario, Conexiones por usuario, Sesiones promedio por usuario, Visitas promedio por usuario, Sesiones activas por usuario, Visitas activas por usuario, Sesiones por usuario"
totalPurchasers,Total de compradores,Indica la cantidad de usuarios que registraron eventos de compra durante el período seleccionado.,"Total de compradores, Número total de compradores, Total de clientes, Número total de clientes, Cantidad total de compradores, Cantidad total de clientes, Total de compradores únicos, Número total de compradores únicos, Total de clientes únicos, Número total de clientes únicos, Total de compradores"
totalRevenue,Ingresos totales,"Es la suma de los ingresos por compras, suscripciones y publicidad (los ingresos por compras más los ingresos por suscripciones más los ingresos publicitarios) menos los ingresos por transacciones reembolsadas.","Ingresos totales, Ganancias totales, Ventas totales, Ingresos globales, Ganancias globales, Ventas globales, Ingresos brutos, Ganancias brutas, Ventas brutas, Ingresos completos, Ingresos totales"
totalUsers,Total de usuarios,"Indica la cantidad de usuarios distintos que registraron, al menos, un evento, sin importar si el sitio o la aplicación estaban en uso cuando se registró ese evento.","Total de usuarios, Número total de usuarios, Cantidad total de usuarios, Total de cuentas, Número total de cuentas, Cantidad total de cuentas, Total de usuarios únicos, Número total de usuarios únicos, Cantidad total de usuarios únicos, Total de miembros, Total de usuarios"
transactions,Transacciones,"Es la cantidad de eventos de transacciones con ingresos por compras. Los eventos de transacción son in_app_purchase, ecommerce_purchase, purchase, app_store_subscription_renew, app_store_subscription_convert y refund.","Transacciones, Compras, Ventas, Operaciones, Movimientos, Acciones, Transacciones completadas, Compras completadas, Ventas completadas, Operaciones completadas, Transacciones"
transactionsPerPurchaser,Transacciones por comprador,Indica la cantidad promedio de transacciones por comprador.,"Transacciones por comprador, Compras por cliente, Ventas por cliente, Operaciones por comprador, Movimientos por cliente, Acciones por cliente, Transacciones promedio por comprador, Compras promedio por cliente, Ventas promedio por cliente, Operaciones promedio por comprador, Transacciones por comprador"
userConversionRate,Porcentaje de conversiones de usuario,Indica el porcentaje de usuarios que activaron cualquier evento de conversión.,"Tasa de conversión de usuario, Índice de conversión de usuario, Ratio de conversión de usuario, Porcentaje de conversión de usuario, Tasa de efectividad de usuario, Índice de efectividad de usuario, Proporción de conversión de usuario, Ratio de efectividad de usuario, Índice de efectividad de usuario, Tasa de éxito de usuario, Porcentaje de conversiones de usuario"
userEngagementDuration,Participación del usuario,Indica la cantidad total de tiempo (en segundos) que tu sitio web o aplicación estuvieron en primer plano en los dispositivos de los usuarios.,"Duración de la participación del usuario, Tiempo de participación del usuario, Duración del compromiso del usuario, Tiempo de compromiso del usuario, Duración de la interacción del usuario, Tiempo de interacción del usuario, Duración del involucramiento del usuario, Tiempo de involucramiento del usuario, Duración del uso del usuario, Tiempo de uso del usuario, Participación del usuario"
